"Item 116","Código","Descrição"
"1702","749010101","Serviços de Tradução, Interpretação e Similares"
"719","749010201","Escafandria e Mergulho"
"1701","749010301","Serviços de Agronomia e De Consultoria às Atividades Agrícolas e Pecuárias"
"1002","749010401","Atividades de Intermediação e Agenciamento de Serviços e Negócios em Geral, Exceto Imobiliários"
"1704","749010501","Agenciamento de Profissionais Para Atividades Esportivas, Culturais e Artisticas"
"1003","749010502","Serviços de Agente de Obras de Arte e Literarias"
"1720","749019901","Consultoria Na Area de Estatistica"
"3601","749019902","Serviços de Meteorologia"
"720","749019903","Nucleação e Bombardeamento de Nuvens e Congeneres"
"1701","749019999","Outras Atividades Profissionais, Cientificas e Tecnicas Nao Especificadas Anteriormente"
"501","750010001","Atividades Veterinarias"
"507","750010002","Ambulância Para Animais"
"503","750010003","Laboratório de Analise Veterinaria"
"502","750010004","Cliinica Ou Consultório Veterinario"
"505","750010005","Banco de Sangue e De órgaos de Animais"
"506","750010006","Coleta de Materiais Biologicos de Qualquer Especie Para Uso Veterinario"
"509","750010007","Planos de Assistencia Veterinaria"
"509","750010007","Planos de Assistencia Veterinaria"
"509","750010007","Planos de Assistencia Veterinaria"
"502","750010008","Hospital Veterinário"
"9903","771100001","Locação de Automóveis Sem Condutor"
"9903","771950101","Locação de Embarcações Sem Tripulação, Exceto Para Fins Recreativos"
"9903","771950201","Locação de Aeronaves Sem Tripulação"
"9903","771959901","Locação de Outros Meios de Transporte Não Especificados Anteriormente, Sem Condutor"
"9903","772170001","Aluguel de Equipamentos Recreativos e Esportivos"
"9903","772250001","Aluguel de Fitas de Vídeo, Dvds e Similares"
"9903","772330001","Aluguel de Objetos do Vestuário, Jóias e Acessórios"
"9903","772920101","Aluguel de Aparelhos de Jogos Eletrônicos"
"9903","772920201","Aluguel de Móveis, Utensílios e Aparelhos de Uso Doméstico e Pessoal; Instrumentos Musicais"
"9903","772920301","Aluguel de Material Médico"
"9903","772929901","Aluguel de Outros Objetos Pessoais e Domésticos Não Especificados Anteriormente"
"9903","773140001","Aluguel de Maquinas e Equipamentos Agricolas Sem Operador"
"1509","773140002","Leasing Operacional de Maquinas e Equipamentos Agricolas"
"1509","773140002","Leasing Operacional de Maquinas e Equipamentos Agricolas"
"1509","773140002","Leasing Operacional de Maquinas e Equipamentos Agricolas"
"9903","773220101","Aluguel de Máquinas e Equipamentos Para Construção Sem Operador, Exceto Andaimes"
"9903","773220201","Aluguel de Andaimes"
"1509","773220202","Leasing Operacional de Andaimes"
"1509","773220202","Leasing Operacional de Andaimes"
"1509","773220202","Leasing Operacional de Andaimes"
"9903","773310001","Aluguel de Maquinas e Equipamentos Para Escritorio"
"1509","773310002","Leasing Operacional de Maquinas e Equipamentos Para Escritório"
"1509","773310002","Leasing Operacional de Maquinas e Equipamentos Para Escritório"
"1509","773310002","Leasing Operacional de Maquinas e Equipamentos Para Escritório"
"9903","773900101","Aluguel de Maquinas e Equipamentos Para Extração de Minerios e Petroleo, Sem Operador"
"1509","773900102","Leasing Operacional de Maquinas e Equipamentos Para Extração de Minerios e Petróleo"
"1509","773900102","Leasing Operacional de Maquinas e Equipamentos Para Extração de Minerios e Petróleo"
"1509","773900102","Leasing Operacional de Maquinas e Equipamentos Para Extração de Minerios e Petróleo"
"9903","773900201","Aluguel de Equipamentos Cientificos, Medicos e Hospitalares, Sem Operador"
"1509","773900202","Leasing Operacional de Equipamentos Cientificos, Medicos e Hospitalares"
"1509","773900202","Leasing Operacional de Equipamentos Cientificos, Medicos e Hospitalares"
"1509","773900202","Leasing Operacional de Equipamentos Cientificos, Medicos e Hospitalares"
"304","773900301","Aluguel de Palcos, Coberturas e Outras Estruturas de Uso Temporario, Exceto Andaimes"
"1509","773900302","Leasing Operacional de Palcos, Coberturas e Outras Estruturas de Uso Temporario"
"1509","773900302","Leasing Operacional de Palcos, Coberturas e Outras Estruturas de Uso Temporario"
"1509","773900302","Leasing Operacional de Palcos, Coberturas e Outras Estruturas de Uso Temporario"
"302","773900303","Locação de Standes Para Feiras e Eventos, Sem Montagem"
"9903","773909901","Aluguel de Outras Máquinas e Equipamentos Comerciais e Industriais Não Especificados Anteriormente, Sem Operador, Exceto Locação de Aparelhos e Equipamentos de Tv, Som e Vídeo"
"9903","773909902","Locação de Aparelhos e Equipamentos de Tv, Som e Vídeo"
"1711","774030001","Gestao de Ativos Intangiveis Nao-financeiros"
"1707","774030002","Venda e Licenciamento de Franquia, Franchising"
"1711","774030003","Gestão de Banco de Dados de Terceiros"
"1004","774030004","Agenciamento, Corretagem Ou Intermediação de Contratos de Franquia (franchising)"
"1004","774030004","Agenciamento, Corretagem Ou Intermediação de Contratos de Franquia (franchising)"
"1004","774030004","Agenciamento, Corretagem Ou Intermediação de Contratos de Franquia (franchising)"
"1704","781080001","Seleção e Agenciamento de Mão-de-obra"
"1704","781080002","Seleção de Mão-de-obra"
"1704","781080003","Agenciamento de Mão-de-obra"
"1705","782050001","Locação de Mão-de-obra Temporária"
"1705","783020001","Fornecimento de Recursos Humanos Para Terceiros"
"1711","783020002","Gestão de Recursos Humanos Para Terceiros"
"902","791120001","Agências de Viagens"
"902","791210001","Operadores Turisticos"
"903","791210002","Serviços de Guia Turistico"
"902","799020001","Agencia de Venda de Ingressos Para Teatros, Cinemas e Outras Atividades Artisticas"
"902","799020002","Guiche de Venda de Passagens de ônibus"
"902","799020099","Serviços de Reservas e Outros Serviços de Turismo Nao Especificados Anteriormente"
"1102","801110101","Atividades de Vigilância e Segurança Privada"
"1104","801110102","Armazenamento, Depósito, Carga, Descarga, Arrumação e Guarda de Bens de Qualquer Espécie"
"1103","801110103","Atividades de Vigilancia e Seguranca Privada (escolta)"
"1103","801110104","Serviços de Escolta No Transporte Rodoviario de Cargas Especiais, Intramunicipal"
"508","801110201","Serviços de Adestramento de Cães de Guarda"
"2601","801290001","Atividades de Transporte de Valores"
"1102","802000001","Atividades de Monitoramento de Sistemas de Segurança"
"1401","802000002","Reparação Ou Ajuste Mecânico de Cofres, Trancas e Travas"
"1406","802000003","Instalação de Cofres, Trancas e Travas"
"1102","802000101","Atividades de Monitoramento de Sistemas de Segurança Eletrônico"
"1401","802000201","Reparação Ou Ajuste Mecânico de Cofres, Trancas e Travas"
"1406","802000202","Instalação de Cofres, Trancas e Travas"
"1102","802000299","Outras Atividades de Serviços de Segurança"
"3401","803070001","Atividades de Investigação Particular"
"1704","81080003","Agenciamento de Mão-de-obra"
"1705","811170001","Serviços Combinados Para Apoio a Edificios, Exceto Condominios Prediais"
"1705","811170002","Serviço de Recepção em Predios"
"710","812140001","Limpeza em Prédios e Em Domicílios"
"713","812220001","Imunização e Controle de Pragas Urbanas"
"710","812900001","Serviços de Limpeza e Tratamento de Piscinas"
"710","812900002","Serviços de Limpeza e Conservação de Ruas, Logradouros"
"710","812900003","Serviço de Desentupimento em Predios"
"713","812900004","Serviço de Esterilização de Objetos"
"710","812900099","Atividades de Limpeza Nao Especificadas Anteriormente"
"711","813030001","Jardinagem, Corte e Poda de árvores"
"701","813030002","Outras Atividades Paisagísticas Voltadas à Manutenção do Solo Não-agrícola e Não-florestal"
"1702","821130001","Serviços Combinados de Escritório e Apoio Administrativo"
"302","821130002","Serviços de Escritório Virtual"
"1303","821990101","Fotocópias"
"1702","821999901","Preparação de Documentos e Serviços Especializados de Apoio Administrativo Não Especificados Anteriormente"
"1702","822020001","Atividades de Teleatendimento"
"1702","822020002","Serviços de Digitação de Dados Para Processamento"
"1709","823000101","Serviços de Organização de Feiras, Congressos, Exposiçoes e Festas"
"1723","823000102","Serviços de Apresentação de Palestras, Conferencias, Seminarios e Congeneres"
"302","823000201","Casas de Festas e Eventos"
"302","823000202","Gestão de Espaço Para Exposição Para Uso de Terceiros"
"302","823000203","Gestão de Instalações Para Eventos"
"1721","829110001","Atividades de Cobrança e Informações Cadastrais"
"1405","829200001","Envasamento e Empacotamento Sob Contrato"
"1701","829970101","Medição de Consumo de Energia Elétrica, Gás e água"
"1516","829970201","Emissão de Vales-alimentação, Vales-transporte e Similares"
"2401","829970301","Serviços de Gravação de Carimbos, Exceto Confecção"
"1712","829970401","Leiloeiros Independentes"
"1701","829970501","Serviços de Levantamento de Fundos Sob Contrato"
"1901","829970601","Casas Lotéricas"
"302","829970701","Salas de Acesso à Internet"
"1711","829979901","Serviços de Administração em Geral"
"1104","829979902","Serviço de Almoxarifado"
"2801","829979903","Serviço de Avaliador, Exceto de Seguros e De Imóveis"
"1701","829979904","Serviço de Prevenção de Incendio Por Empresa Privada"
"2301","829979905","Serviço de Cartazista"
"2601","829979906","Serviço de Coleta de Botijão de Gas"
"2301","829979907","Serviços de Computação Grafica"
"1010","829979908","Serviço de Distribuição de Diario Oficial da União"
"1009","829979909","Escritório de Representação - Filial de Empresa Estrangeira, Exceto de Bancos Estrangeiros"
"1401","829979910","Serviço de Manutenção de Aquarios"
"1706","829979911","Serviço de Pintura de Faixas"
"1510","829979912","Posto, Agencia em Estabelecimentos Comerciais Para Pagamento de Contas de Luz, Gas, Etc."
"1301","829979913","Serviços de Sonorização Para Telefone"
"1501","829979914","Serviços de Vistoria de Automóveis"
"1501","829979914","Serviços de Vistoria de Automóveis"
"1501","829979914","Serviços de Vistoria de Automóveis"
"1501","829979915","Administração de Cartões de Descontos"
"1501","829979915","Administração de Cartões de Descontos"
"1501","829979915","Administração de Cartões de Descontos"
"1010","829979916","Distribuição de Bens de Terceiros"
"302","829979917","Exploração de Espaços Para Realização de Eventos Ou Negócios de Qualquer Natureza"
"1701","829979999","Outras Atividades de Serviços Prestados Principalmente às Empresas Nao Especificadas Anteriormente"
"801","851120001","Educação Infantil - Creche"
"801","851120002","Educação Infantil - Creche - Educação Especial Para Sub e Superdotados e Deficientes Físicos"
"801","851210001","Educação Infantil - Pré-escola"
"801","851210002","Educação Infantil - Pré-escola - Educação Especial Para Sub e Superdotados e Deficientes Físicos"
"801","851390001","Ensino Fundamental"
"801","851390002","Ensino Fundamental - Educação Especial Para Sub e Superdotados e Deficientes Físicos"
"801","852010001","Ensino Médio"
"801","852010002","Ensino Médio Profissionalizante"
"801","852010003","Ensino Médio - Educação Especial Para Sub e Superdotados e Deficientes Físicos"
"801","853170001","Educação Superior - Graduação"
"801","853250001","Educação Superior - Graduação e Pós-graduação"
"801","853330001","Educação Superior - Especialização"
"801","853330002","Educação Superior - Mestrado, Doutorado, Pós-doutorado"
"801","854140001","Educação Profissional de Nível Técnico, com Habilitação de Ensino Médio"
"802","854140002","Cursos Técnicos de Habilitação Profissional"
"801","854220001","Educação Profissional de Nível Tecnológico"
"1711","855030101","Administração de Caixas Escolares"
"1701","855030201","Atividades de Apoio à Educação, Exceto Caixas Escolares"
"802","855030202","Avaliação de Conhecimentos de Qualquer Natureza"
"802","859110001","Ensino de Esportes"
"604","859110002","Academia de Artes Marciais"
"802","859290101","Ensino de Dança"
"802","859290201","Ensino de Artes Cênicas, Exceto Dança"
"802","859290301","Ensino de Música"
"802","859299901","Ensino de Arte e Cultura Não Especificado Anteriormente"
"802","859370001","Ensino de Idiomas"
"802","859960101","Formação de Condutores"
"802","859960201","Cursos de Pilotagem"
"802","859960301","Treinamento em Informática"
"802","859960401","Treinamento em Desenvolvimento Profissional e Gerencial"
"802","859960501","Cursos Preparatórios Para Concursos"
"802","859969901","Outras Atividades de Ensino Não Especificadas Anteriormente"
"403","861010101","Atividades de Atendimento Hospitalar, Exceto Pronto-socorro e Unidades Para Atendimento a Urgencias"
"407","861010102","Serviços Farmaceuticos"
"401","861010103","Atividades de Medicina e Biomedicina."
"403","861010104","Maternidade"
"403","861010105","Hospital Psiquiátrico"
"403","861010201","Atividades de Atendimento em Pronto-socorro e Unidades Hospitalares Para Atendimento a Urgências"
"421","862160101","Uti Móvel"
"421","862160201","Serviços Móveis de Atendimento a Urgências, Exceto Por Uti Móvel"
"421","862240001","Serviços de Remoção de Pacientes, Exceto Os Serviços Móveis de Atendimento a Urgências"
"403","863050101","Atividade Médica Ambulatorial com Recursos Para Realização de Procedimentos Cirúrgicos"
"403","863050201","Atividade Médica Ambulatorial, Exceto Consultórios Médicos, com Recursos Para Realização de Exames Complementares."
"401","863050202","Consultórios Médicos com Recursos Para Realização de Exames Complementares"
"403","863050301","Estabelecimentos de Atendimento Ambulatorial, Exceto Consultórios Médicos"
"401","863050302","Consultórios Médicos"
"403","863050303","Atividades de Clínica Médica Restrita a Consultas"
"412","863050401","Atividade Odontológica"
"412","863050402","Clínica Odontológica Pública Ou Particular"
"401","863050601","Serviços de Vacinação e Imunização Humana"
"418","863050701","Atividades de Reprodução Humana Assistida"
"403","863059901","Atividades de Atenção Ambulatorial Não Especificadas Anteriormente"
"403","864020101","Laboratórios de Anatomia Patológica e Citológica"
"403","864020201","Laboratórios Clínicos"
"403","864020202","Posto de Coleta Laboratorial"
"409","864020301","Serviços de Diálise e Nefrologia"
"402","864020401","Serviços de Tomografia"
"402","864020501","Serviços de Diagnóstico Por Imagem com Uso de Radiação Ionizante, Exceto Tomografia"
"402","864020601","Serviços de Ressonância Magnética"
"402","864020701","Serviços de Diagnóstico Por Imagem Sem Uso de Radiação Ionizante, Exceto Ressonância Magnética"
"402","864020801","Serviços de Diagnóstico Por Registro Gráfico - Ecg, Eeg e Outros Exames Análogos"
"402","864020901","Serviços de Diagnóstico Por Métodos ópticos - Endoscopia e Outros Exames Análogos"
"402","864021001","Serviços de Quimioterapia"
"402","864021101","Serviços de Radioterapia"
"409","864021201","Serviços de Hemoterapia"
"409","864021301","Serviços de Litotripsia"
"419","864021401","Serviços de Bancos de Sangue, Leite, Pele, Olhos, Ovulos, Semen, Celulas e Tecidos Humanos"
"420","864021402","Coleta de Sangue, Leite, Tecidos, Semen, órgaos e Materiais Biológicos de Qualquer Especie."
"409","864029901","Atividades de Serviços de Complementação Diagnóstica e Terapêutica Não Especificadas Anteriormente"
"406","865000101","Atividades de Enfermagem"
"410","865000201","Atividades de Profissionais da Nutrição"
"416","865000301","Atividades de Psicologia, Consultórios e Clínicas"
"415","865000302","Atividades de Psicanalise, Consultórios e Clínicas"
"408","865000401","Atividades de Fisioterapia"
"408","865000501","Atividades de Terapia Ocupacional"
"408","865000601","Atividades de Fonoaudiologia"
"410","865000701","Atividades de Terapia de Nutrição Enteral e Parenteral"
"404","865009901","Serviços de Instrumentação Cirurgica"
"413","865009902","Atividades de Ortóptica"
"409","865009903","Serviços de Quiropraxia"
"401","865009904","Atividades de Optmetristas"
"409","865009999","Atividades de Profissionais da Area de Saude Nao Especificadas Anteriormente"
"1701","866070001","Atividades de Apoio à Gestao de Saude"
"409","869090101","Atividades de Praticas Integrativas e Complementares em Saude Humana"
"419","869090201","Atividades de Bancos de Leite Humano"
"405","869090301","Atividades de Acupuntura"
"409","869090401","Atividades de Podologia"
"411","869099901","Serviços de Parteira"
"411","869099901","Serviços de Parteira"
"409","869099999","Outras Atividades de Atenção à Saude Humana Nao Especificadas Anteriormente"
"417","871150101","Clinicas e Residencias Geriatricas"
"403","871150102","Centro Medico Geriatrico"
"417","871150201","Instituições de Longa Permanência Para Idosos"
"417","871150301","Atividades de Assistencia a Deficientes Fisicos, Imunodeprimidos e Convalescentes"
"417","871150302","Casas de Repouso Para Convalescentes e Imonodeprimidos"
"417","871150401","Centros de Apoio a Pacientes com Câncer e Com Aids"
"417","871150501","Condomínios Residenciais Para Idosos"
"421","871230001","Atividades de Fornecimento de Infra-estrutura de Apoio e Assistência a Paciente No Domicílio"
"417","872040101","Atividades de Centros de Assistência Psicossocial"
"403","872040102","Hospital Psiquiátrico"
"417","872049901","Atividades de Assistência Psicossocial e à Saúde a Portadores de Distúrbios Psíquicos, Deficiência Mental e Dependência Química e Grupos Similares Não Especificadas Anteriormente"
"417","873010101","Orfanatos"
"417","873010201","Albergues Assistenciais"
"417","873019901","Atividades de Assistência Social Prestadas em Residências Coletivas e Particulares Não Especificadas Anteriormente"
"2701","880060001","Serviços de Assistência Social Sem Alojamento"
"1213","900190101","Produção Teatral"
"1201","900190102","Espetaculos Teatrais."
"1201","900190103","Teatro"
"1213","900190201","Produção Musical"
"1213","900190202","Atividades de Produção e Promoção de Bandas, Grupos Musicais, Orquestras e Outras Companhias Musicais"
"1213","900190301","Produção de Espetáculos de Dança"
"1213","900190401","Produção de Espetaculos Circenses, de Marionetes e Similares"
"1203","900190402","Espetaculo Circense"
"1213","900190501","Produção de Espetáculos de Rodeios, Vaquejadas e Similares"
"3101","900190601","Atividades de Sonorização e De Iluminação"
"3101","900190602","Atividade de Equipamento de Som e Luz com Operador"
"3101","900190603","Serviços de Iluminação Ligada às Atividades Artisticas, Cenicas"
"1214","900190604","Fornecimento de Música Para Ambientes Fechados Ou Não, Mediante Transmissao Por Qualquer Processo."
"1204","900199901","Atividades de Apresentadores de Programas de Televisao e Radio"
"1216","900199902","Espetaculo Pirotecnico"
"1213","900199999","Artes Cenicas, Espetáculos e Atividades Complementares Nao Especificados Anteriormente"
"3701","900270101","Atividades de Artistas Plasticos"
"2301","900270104","Atividade de Criador de Desenho Animado"
"3501","900270105","Atividade de Jornalista Independente"
"4001","900270106","Obras de Arte Sob Encomenda"
"4001","900270199","Atividades de Artistas Plásticos, Jornalistas Independentes e Escritores"
"1401","900270201","Restauração de Obras de Arte"
"302","900350001","Gestao de Espaços Para Artes Cenicas, Espetaculos e Outras Atividades Artisticas"
"302","900350002","Casa de Cultura, Espetaculos Ou Shows"
"1214","900350003","Fornecimento de Música Para Ambientes Fechados Ou Não, Mediante Transmissão Por Qualquer Processo."
"302","900350004","Casa de Cultura"
"302","900350005","Casa de Espetáculos"
"302","900350006","Casa de Shows"
"302","900350007","Exploração de Cafés-teatro"
"302","900350008","Exploração de Salas de Espetáculos"
"302","900350009","Gestão de Salas Dedicadas a Atividades Artísticas"
"302","900350010","Atividade de Gestão de Sala de Shows"
"2901","910150001","Atividades de Bibliotecas e Arquivos"
"1104","910150002","Atividade de Arquivo"
"2901","910150003","Biblioteca Central"
"2901","910150004","Biblioteca de Bairro"
"3801","910230101","Atividades de Museus e De Exploração de Lugares e Prédios Históricos e Atrações Similares"
"3801","910230102","Planetário"
"710","910230201","Conservação de Lugares e Prédios Históricos"
"705","910230202","Restauração de Lugares e Prédios Históricos"
"1205","910310001","Atividades de Jardins Botânicos, Zoológicos, Parques Nacionais, Reservas Ecológicas e áreas de Proteção Ambiental"
"1205","910310002","Parque Metropolitano"
"1205","910310003","Parque Urbano"
"1205","910310004","Parque de Vizinhança Ou de Bairro"
"1205","910310005","Horto Florestal"
"1901","920030101","Casas de Bingo"
"1210","920030201","Exploração de Apostas em Corridas de Cavalos"
"1901","920039901","Exploração de Jogos de Azar e Apostas Não Especificados Anteriormente"
"302","931150001","Gestão de Instalações de Esportes"
"302","931150002","Gestão de Estádios"
"302","931150003","Gestão de Ginásio de Esportes"
"302","931150004","Exploração de Pista de Patinação"
"302","931150005","Gestão de Quadras Esportivas"
"302","931150006","Estádio"
"302","931150007","Ginásio"
"604","931310001","Atividades de Condicionamento Físico"
"604","931310002","Academia de Fisiculturismo"
"1213","931910101","Produção e Promoção de Eventos Esportivos"
"1205","931919901","Atividade de Pesca Esportiva e De Lazer, Pesque Pague"
"1211","931919902","Competições Esportivas Ou de Destreza Fisica Ou Intelectual, com Ou Sem a Participação do Espectador."
"604","931919999","Outras Atividades Esportivas Nao Especificadas Anteriormente"
"1205","932120001","Parques de Diversão e Parques Temáticos"
"1206","932980101","Discotecas, Danceterias, Salões de Dança e Similares"
"1209","932980201","Exploração de Boliches"
"1209","932980301","Exploração de Jogos de Sinuca, Bilhar e Similares"
"1209","932980401","Exploração de Jogos Eletrônicos Recreativos"
"1217","932989901","Atividades de Animação e Recreação em Festas e Eventos"
"1209","932989902","Exploração de Jogos Bilhar e Snooker"
"1101","932989903","Serviços de Estadia de Barcos, Lanchas, Iates e Jet Ski"
"1209","932989904","Site de Entretenimento, Inclusives Jogos, Na Internet, Exceto Jogos de Azar"
"1208","932989905","Organização de Feiras e Shows de Natureza Recreacional"
"902","932989906","Exploração de Trenzinho Para Passeios Turisticos"
"902","932989907","Locação de Embarcaçoes Para Fins Recreativos"
"1205","932989908","Exploração de Karts"
"1205","932989909","Aquario Para Visitação"
"1207","932989910","Shows, Ballet, Danças, Desfiles, Bailes, óperas, Concertos, Recitais, Festivais e Congeneres."
"1603","932989911","Transporte em Veiculos de Tração Animal"
"1603","932989911","Transporte em Veiculos de Tração Animal"
"1217","932989999","Outras Atividades de Recreação e Lazer Nao Especificadas Anteriormente"
"1215","949360002","Atividade de Blocos Carnavalescos"
"1401","951180001","Reparação e Manutenção de Computadores e De Equipamentos Perifericos"
"1402","951180002","Serviços de Assistencia Tecnica em Equipamentos de Informatica"
"1401","951260001","Reparação e Manutenção de Equipamentos de Comunicação"
"1402","951260002","Assistencia Tecnica em Telefone"
"1401","952150001","Reparação e Manutenção de Equipamentos Eletroeletrônicos de Uso Pessoal e Domestico"
"1401","952150002","Conserto de Eletrodomesticos"
"1406","952150003","Instalação de Peças e Acessórios Para Eletrodomesticos"
"1402","952150004","Assistência Técnica de Equipamentos Eletroeletrônicos de Uso Pessoal e Domestico"
"1405","952910101","Reparação de Calçados, Bolsas e Artigos de Viagem"
"2401","952910201","Chaveiros"
"1405","952910301","Reparação de Relógios"
"1401","952910401","Reparação de Bicicletas, Triciclos e Outros Veiculos Nao-motorizados"
"1406","952910402","Instalação de Acessórios Bicicletas"
"1405","952910403","Serviços de Pintura de Bicicletas, Triciclos e De Outros Veiculos Recreativos"
"1401","952910404","Conserto de Pneus e Câmaras de Ar de Bicicletas"
"1413","952910501","Reparação de Artigos do Mobiliario"
"1411","952910502","Reparação de Artigos de Tapeçaria"
"1401","952910601","Reparação de Jóias"
"1409","952919901","Serviços de Conserto e Recuperacao de Roupas"
"1401","952919902","Conserto de Armas de Fogo"
"1405","952919903","Atividade de Amolador de Facas"
"1401","952919904","Conserto de Brinquedos"
"1401","952919905","Reparação de Artigos de Borracha, de Couro, de Pele e De Artigos de Viagem (sacolas Malas, Casacos, Sombrinhas, Etc.), Exceto Reparação de Calçados"
"1401","952919999","Reparação e Manutenção de Outros Objetos e Equipamentos Pessoais e Domesticos Nao Especificados Anteriormente"
"1410","960170101","Lavanderias"
"1410","960170102","Lavanderia Industrial"
"1410","960170103","Lavanderia Hospitalar"
"1410","960170201","Tinturarias"
"1410","960170202","Tinturaria Industrial"
"1410","960170301","Toalheiros"
"9903","960170302","Aluguel De, Locação de Roupas de Cama, Mesa e Banho"
"601","960250101","Cabeleireiros, Manicure e Pedicure"
"601","960250102","Barbearia"
"601","960250111","Salão-parceiro - Cabeleireiros, Manicure e Pedicure"
"601","960250112","Salão-parceiro - Barbearia"
"602","960250201","Clinicas de Estetica e Similares"
"605","960250202","Clinica de Emagrecimento"
"602","960250203","Outras Atividades de Estetica e Serviços de Cuidados com A Beleza Não Especificadas Anteriormente"
"605","960250211","Salão-parceiro - Clinicas de Estetica e Similares"
"602","960250213","Salão-parceiro - Outras Atividades de Estetica e Serviços de Cuidados com A Beleza Não Especificadas Anteriormente"
"2504","960330101","Gestão e Manutenção de Cemitérios"
"2505","960330102","Serviços de Cessão/Locação do Uso de Jazigos/Lóculos"
"2505","960330102","Serviços de Cessão/Locação do Uso de Jazigos/Lóculos"
"2502","960330201","Serviços de Cremação"
"2501","960330301","Serviços de Sepultamento, Exceto Vertical"
"2501","960330302","Serviços de Sepultamento Vertical"
"2501","960330401","Serviços de Funerárias"
"2501","960330501","Serviços de Somatoconservação"
"2501","960339901","Atividades Funerárias e Serviços Relacionados Não Especificados Anteriormente"
"2501","960339902","Velórios"
"1701","960920201","Agências Matrimoniais"
"1302","960920401","Exploração de Máquinas de Serviços Pessoais Acionadas Por Moeda - Fotografia"
"1303","960920402","Digitalização Para Entrada de Dados"
"1701","960920403","Exploração de Máquinas de Serviços Pessoais Acionadas Por Moeda - Pesagem"
"1701","960920499","Exploração de Máquinas de Serviços Pessoais Acionadas Por Moeda"
"603","960920501","Atividades de Sauna e Banhos"
"606","960920601","Serviços de Tatuagem e Colocação de Piercing"
"508","960920701","Alojamento de Animais Domésticos"
"508","960920801","Higiene e Embelezamento de Animais Domésticos"
"1705","960929901","Serviços de Baby Siter"
"1405","960929902","Serviços de Engraxate"
"302","960929903","Serviços de Exploração de Sanitarios Publicos"
"1702","960929904","Serviços de Mensagens Fonadas"
"1405","960929905","Serviços de Lavagem de Estofado - Exceto de Veiculos"
"1102","960929906","Serviços de Guarda de Piscina"
"1101","960929907","Serviços de Manobristas"
"1701","960929908","Consultoria em Organização Pessoal (personal Organizer)"
"602","960929998","Serviços de Tatuagem e Colocação de Piercin"
"603","960929999","Outras Atividades de Serviços Pessoais Não Especificadas Anteriormente"
"9908","970050001","Serviços Domésticos"
"1102","970050002","Guarda-costa"
